AP,HE,accuracy,aimTime,caliber,corrShotMultiplier,dispersionAngle,dispersionMax,dispersionMin,inst_num,isCluster,isFireAndForget,isHEAT,isKE,isMissile,isNapalm,isRadar,isSEAD,isSmoke,loadType,maxrangeDef,maxrangeGround,maxrangeHeli,maxrangePlane,maxrangeShip,minrangeDef,minrangeGround,minrangeHeli,minrangePlane,minrangeShip,missileAcceleration,missileCorrInterval,missileSpeedMax,muzzleVelocity,name,noiseMalus,radiusDamage,radiusNapalm,radiusSmoke,radiusSuppress,salvoLength,salvoReload,salvoVisAmmo,shotReload,simultShots,stabilizer,supplyPerShot,suppress,typeArme
,3,0.35,1.4,106mm,,0.57,,,80206,,,,,,,,,,,,1750,,,1750,,,,,,,,,2692.31,M40 RR,2.06,40,,,132.5,1,8,1,1,1,0.05,20,122,Recoilless Rifle
,4,0.7,1.4,125mm,,0.29,,,121557,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,ZPT-98 [Auto],2.25,47,,,156.5,42,7.5,42,7.5,1,0.55,1050,144,Main Gun
,6,,25,122mm,,0.06,245,245,77493,,,,,,,,,,,,15225,,,15225,,1522,,,1522,,,,826.92,2A31 [25s],1.81,122,,,244,12,30,12,8.5,1,,350,281,Howitzer
27,1,0.7,2,SALH,,0.63,,,79891,,,true,,true,,,,,,,2975,,,2975,,175,,,175,1000,10,1400,1000,Spike NLOS,2,5,,,400,6,20,6,1,1,0.6,1148,150,ATGM
25,1,0.55,2,SACLOS,,1.15,,,80453,,,true,,true,,,,,,,2625,,,2625,,175,,,175,750,2.3,900,750,9M133 Kornet,2,5,,,400,1,5,1,1,1,0.05,172,150,ATGM
,1,0.15,0.6,23mm,,0.11,,,78564,,,,,,,,,,,,1050,2450,1750,1050,,,,,,,,,3461.54,ZU-23-2,4.92,9,,,67.5,10,10,100,0.3,1,0.05,100,92,Anti-Aircraft Autocannon
22,1,0.7,1,120mm,,0.29,,,122663,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,GIAT 120 [Auto],2.2,2.5,,,300,40,5,40,5,1,0.6,1000,138,Main Gun
,0.75,0.3,1,12.7mm,,0.57,,,122575,,,,,,,,,,,,1050,875,,1050,,,,,,,,,3461.54,NSVT [RWS],1.254,5,,,16,10,2,100,0.8,1,0.15,10,90,MMG
,3,0.6,1.4,105mm,,0.29,,,77774,,,,,,,,,,,,2100,,,2100,,,,,,,,,2692.31,D921/GIAT F1,2.05,39.5,,,131.5,1,6.6,1,1,1,0.05,20,121,Main Gun
,1,0.6,1,30mm,,0.57,,,121762,,,,,,,,,,,,1750,1575,,1750,,,,,,,,,3461.54,MK30-2,1.6,11.5,,,37.5,2,1.6,10,1.2,1,0.45,15,60,Autocannon
17,1,0.65,1,120mm,,0.29,,,123977,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,DRDO-120,2.2,2.5,,,300,1,7.5,1,1,1,0.6,25,138,Main Gun
,2,0.35,1.4,73mm,,0.57,,,78054,,,,,,,,,,,,1575,,,1575,,,,,,,,,2692.31,2A28 Grom [Auto],1.73,27.5,,,91.5,20,6,20,6,1,0.1,300,84,Main Gun
7,1,,10,230mm,1,0.06,700,175,123579,true,,true,,,,,,,,,44975,,,44975,,8400,,,8400,,,,1057.69,KM26A2 [10s],2.51,225,,,225,12,132,12,2,1,,1152,450,MLRS
,1,0.4,1,5.56mm,,0.57,,,82795,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,K2C1,1.556,2.5,,,10,4,6,40,3,1,0.4,4,40,Assault Rifles
11,1,0.7,2,SACLOS,,0.97,,,77933,true,,true,,true,,,,,,,2625,,,2625,,175,,,175,750,1.9,900,750,BGM-71F TOW 2B,2,5,,,400,2,10,2,1,1,0.5,438,150,ATGM
17,1,0.65,1,105mm,,0.29,,,121404,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,M68A1E4 [Auto],2.05,2.5,,,262.5,18,6,18,6,1,0.6,360,121,Main Gun
,20,0.5,,Cruise,,0.57,,,122573,False,,,,,,,,,,,630,,,630,,,,,,,,,865.38,SCALP-EG,1.4,325,,,650,1,15,1,0.4,1,0.5,1100,600,Cruise missile
,4,0.5,0.2,Infrared,,0.57,,,122128,,true,,,true,,,,,,,,2275,4200,,,,420,700,,2000,10,9000,2000,Fatter,2,140,,,280,1,2,1,0.8,1,0.5,500,160,AAM
,8,0.7,,Radar,,0.57,,,120594,,true,,,true,,true,,,,3675,,3850,5250,,,,,,,2000,10,15000,2000,RIM-174 ERAM SM-6 [x4],2,245,,,490,2,5,2,1,1,0.7,180,280,Naval SAM
,6,0.5,0.2,SemAct radar,,0.57,,,87313,,,,,true,,true,,,,,,,6300,,,,,700,,1000,10,15000,1000,AIM-7M Sparrow,2,210,,,420,1,0.2,1,0.2,1,0.5,700,240,AAM
,5,0.65,0.2,Radar,,0.57,,,88360,,true,,,true,,true,,,,,,,7000,,,,,700,,1500,10,20000,1500,Astra Mk.1,2,175,,,350,1,2,1,1,1,0.65,1000,160,AAM
16,1,0.6,2,SALH,,0.63,,,123683,true,,true,,true,,,,,,,2800,,,2800,,175,,,175,700,1.2,1400,700,HJ-10,2,5,,,400,8,20,8,1,1,0.6,1792,150,ATGM
7,1,,10,227mm,1,0.06,700,175,81262,true,,true,,,,,,,,,42000,,,42000,,8400,,,8400,,,,1057.69,AT2 [10s],2.51,225,,,225,12,132,12,2,1,,1152,450,MLRS
11,1,0.6,1,120mm,,0.29,,,123966,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,DRDO-120,2.2,2.5,,,300,1,7.5,1,1,1,0.55,25,138,Main Gun
,1,0.55,1,30mm Radar,,0.11,,,123570,,,,,,,true,,,,,1575,,,1575,,,,,,,,,3461.54,Twin KCB,5.2,11.5,,,72.5,69,15,600,0.4,1,0.25,600,120,Anti-Aircraft Autocannon
11,1,0.65,2,MMW,,1.15,,,121788,true,,true,,true,,,,,,,2450,,,2450,,175,,,175,700,1.6,1400,700,MELLS,2.25,5,,,400,1,5,1,1,1,0.05,133,150,ATGM
,0.75,0.15,1,12.7mm,,0.57,,,122013,,,,,,,,,,,,1050,875,,1050,,,,,,,,,3461.54,MGD 12.7,1.254,5,,,16,10,2,100,0.8,1,0.05,10,90,MMG
,7,,20,155mm,,0.06,140,140,123577,,,,,,,,,,,,41300,,,41300,,4130,,,4130,,,,1057.69,MRSI [3 shot. 20s],2.03,155,,,310,3,30,3,0.2,1,,253,357,Howitzer
12,1,0.35,1,107mm HEAT,,0.57,,,122646,,,true,,,,,,,,,1750,,,1750,,,,,,,,,3461.54,B-11,2.06,2.5,,,265,1,8,1,1,1,0.05,20,122,Recoilless Rifle
,,,4,120mm,,0.06,175,175,84871,,,,,,,,,true,,,8400,,,8400,,770,,,770,,,,826.92,2R2M,1.8,60,,150,180,6,5,6,4,1,,105,,Mortar
12,1,0.5,1,105mm HEAT,,0.29,,,123983,,,true,,,,,,,,,1925,,,1925,,,,,,,,,3461.54,L7A2,2.05,2.5,,,262.5,1,7.5,1,1,1,0.2,20,121,Main Gun
,4,0.75,1.4,120mm,,0.29,,,80693,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,GIAT 120 [Auto],2.2,45,,,150,22,5,22,5,1,0.7,550,138,Main Gun
16,1,0.5,1,155mm,,0.29,,,77807,,,true,,,,,,,,,1925,,,1925,,,,,,,,,3461.54,GCT F1,2.55,2.5,,,387.5,1,7.5,1,1,1,0.05,30,179,Main Gun
,8,0.4,1,130mm,,0.29,,,122219,,,,,,,,,,,2800,5075,2800,2625,5075,,,,,,,,,2692.31,H/PJ-45,2.27,97.5,,,156.5,8,6,8,1,1,0.4,120,72,Naval Gun
,1,0.23,1.4,5.56mm,,0.57,,,124038,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,INSAS,1.556,3,,,10,3,8,30,3,1,0.1,3,40,Assault Rifles
,7,,30,122mm,1,0.06,700,175,78096,,,,,,,,,,,,17500,,,17500,,3500,,,3500,,,,1057.69,M-21OF [30s],1.81,74.23,,,371.15,40,200,40,0.6,1,,720,285,MLRS
,1,0.3,0.4,20mm,,1.15,,,87383,,,,,,,,,,,,2100,1575,2100,2100,,,,,,,,,5769.23,Twin M39A2,1.4,7.5,,,25,10,1,70,0.2,1,0.3,35,40,Autocannon
,2,0.1,1,Napalm,,1.15,,,121909,,,,,,true,,,,,,1050,,,1050,,52,,,,,,,1057.69,FHJ-02,3,31,75,,155,10,12,10,1.5,1,0.05,175,70,Rocket Launcher
19,1,0.7,,83mm HEAT,,0.86,,,84758,,,true,,,,,,,,,875,,,875,,,,,,,,,769.23,Mk 153 SMAW [SMK],2.66,2.5,,,207.5,1,4,1,1,1,0.05,10,336,LAW
20,1,0.6,1,125mm,,0.29,,,79058,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,2A46M [Auto],2.25,2.5,,,312.5,30,6.6,30,6.6,1,0.5,750,144,Main Gun
,1,0.5,1,25mm,,0.57,,,77920,,,,,,,,,,,,1750,1575,,1750,,,,,,,,,3461.54,M242 Bushmaster I,1.5,9.5,,,31.5,2,1.8,15,1.6,1,0.25,15,50,Autocannon
,5,0.4,1,Infrared,,0.57,,,124167,,true,,,true,,,,,,,,2625,2100,,,,,,,2000,10,9000,2000,9M37M,2,175,,,350,4,10,4,2,1,0.4,268,200,SAM
,6,0.6,0.2,SemAct radar,,0.57,,,88538,,,,,true,,true,,,,,,,7700,,,,,700,,1000,10,15000,1000,R-27ER,2,210,,,420,1,0.2,1,0.2,1,0.6,700,240,AAM
10,1,0.55,,120mm HEAT,,0.86,,,84659,true,,true,,,,,,,,,700,,,700,,,,,,,,,769.23,NK-LAW,2.68,2.5,,,210,1,3,1,1,1,0.55,20,150,LAW
,2,0.3,0.2,57mm,,0.57,,,88311,,,,,,,,,,,,2450,,,2450,,700,,,700,,,,2307.69,S-5M,1.38,21.5,,,71.5,32,1,32,0.2,16,0.3,750,132,Rocket Pod
,4,0.3,1,100mm,,0.46,,,122498,,,,,,,,,,,,2275,,,2275,,,,,,,,,3461.54,KS-19,2,37.5,,,125,8,8,8,3,1,0.05,160,115,Anti-Aircraft Autocannon
20,3,0.7,0.2,Radar,,0.29,,,122322,,true,true,,true,,,,,,,,,,7700,,,,,700,400,10,2100,400,AGM-158C LRASM,2,200,,,400,2,1,2,0.4,1,0.7,2000,,SSM
15,1,0.6,1,125mm,,0.29,,,121559,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,ZPT-98 [Auto],2.25,2.5,,,312.5,42,7.5,42,7.5,1,0.55,1050,144,Main Gun
,7,,10,131mm,1,0.06,700,175,80344,,,,,,,,,,,,36050,,,36050,,7210,,,7210,,,,1057.69,K33 [10s],1.87,78.6,,,392.98,36,120,36,0.5,1,,828,301,MLRS
,3,0.3,1,76mm,,0.29,,,85457,,,,,,,true,,,,2450,3325,2450,1925,3325,,,,,,,,,2692.31,OTO Melara,1.76,57,,,95,16,12,16,0.6,1,0.3,240,44,Naval Gun
,1,0.45,0.6,5.56mm,,0.57,,,123228,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,K2,1.556,2.5,,,10,6,4.5,60,2.2,1,0.23,6,40,Assault Rifles
,6,0.45,0.2,Infrared,,0.57,,,88663,,true,,,true,,,,,,,,2275,4900,,,,420,700,,1000,10,15000,1000,R-27T,2,210,,,420,1,2,1,2,1,0.45,700,240,AAM
20,1,,10,GPS-guided,1,0.06,35,35,81251,true,,true,,,,,,,,,98000,,,98000,,8400,,,8400,,,,1057.69,M39A1 [10s],5.07,250,,,250,2,240,2,10,1,,2000,1420,TBM
20,1,0.5,2,SACLOS,,0.97,,,84965,,,true,,true,,,,,,,2450,,,2450,,175,,,175,750,2,900,750,HJ-8A,2,5,,,400,4,10,4,1,1,0.5,468,150,ATGM
1,1,0.95,2,12.7mm,,0.57,,,121918,,,,true,,,,,,,,1400,,,1400,,87,,,87,,,,3461.54,PGM FR 12.7 F1,2.25,2.5,,,16,1,4,1,4,1,0.2,12,80,Sniper Rifle
,30,0.25,,3000kg,,0.57,,,88221,,,,,,,,,,,,3500,,,3500,,,,,,,,,750,3000-2,6,650,,,1300,1,5,1,0.2,1,0.25,3500,600,HE Bomb
,4,0.55,1.4,125mm,,0.29,,,84080,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,2A46M1 [Auto],2.25,47,,,156.5,24,6.6,24,6.6,1,0.45,600,144,Main Gun
,5,0.6,1,Infrared,,0.57,,,80927,,true,,,true,,,,,,,,2625,2100,,,,,,,2000,10,9000,2000,FIM-92J Stinger,2,175,,,350,8,20,8,2,1,0.6,536,200,SAM
,7,0.65,0.2,Radar,,0.57,,,123790,,true,,,true,,true,,,,,,3500,3500,,,,630,,,2000,10,15000,2000,CAMM Land Ceptor,2,245,,,490,8,30,8,2,1,0.6,1064,280,SAM
,20,0.2,,1000kg,,0.57,,,89709,,,,,,,,,,,,3500,,,3500,,,,,,,,,576.92,Mk 84,6,325,,,500,2,5,2,0.2,1,0.2,2500,600,HE Bomb
,15,0.2,,500kg,,0.57,,,88946,,,,,,,,,,,,3500,,,3500,,,,,,,,,576.92,FAB 500,6,187.5,,,300,4,5,4,0.2,2,0.2,2000,600,HE Bomb
,0.75,0.3,1,12.7mm,,0.57,,,121712,,,,,,,,,,,,1050,875,,1050,,,,,,,,,3461.54,M2 [RWS],1.254,5,,,16,10,2,100,0.8,1,0.15,10,90,MMG
,2,0.6,1,90mm,,0.86,,,121792,,,,,,,,,,,,1225,,,1225,,,,,,,,,2692.31,RGW Wirkmittel 90 [SMK],1.84,31.5,,,105,1,5,1,1,1,0.05,20,50,LAW
,1,0.6,0.2,5.56mm,,0.57,,,122619,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,HK416F,1,2.5,,,10,8,3,80,1.3,1,0.4,8,40,Assault Rifles
16,1,0.7,,90mm HEAT,,0.86,,,123899,,,true,,,,,,,,,700,,,700,,,,,,,,,769.23,L2A1 ASM,2.66,2.5,,,207.5,1,4,1,1,1,0.05,20,336,LAW
,1.5,0.45,1,30mm ABM,,0.11,,,121843,,,,,,,,,,,,1925,2625,1750,1925,,,,,,,,,3461.54,KCE 30,6.28,13.5,,,71.5,34,10,252,0.4,1,0.4,240,114,Anti-Aircraft Autocannon
20,1,0.5,,SACLOS,,1.72,,,85693,,,true,,true,,,,,,,2450,,,2450,,175,,,175,500,1.7,1000,500,BGM-71D TOW 2,2,5,,,400,1,1,1,1,1,0.35,94,150,ATGM
,3,0.4,1.4,115mm,,0.29,,,79275,,,,,,,,,,,,1925,,,1925,,,,,,,,,2692.31,2A20,2.15,43.5,,,144,1,9.5,1,1,1,0.2,25,133,Main Gun
16,1,0.55,,SALH,,1.72,,,123359,true,,true,,true,,,,,,,2975,,,2975,,175,,,175,1250,1.2,2500,1250,Bulsae-4,2,5,,,400,1,1,1,1,1,0.55,268,150,ATGM
,1,0.8,0.2,5.56mm,,0.57,,,82582,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,K1A,1,2.5,,,10,8,3,80,1.3,1,0.8,8,40,Assault Rifles
,1,0.3,1,20mm,,0.57,,,86057,,,,,,,,,,,,1575,1575,,1575,,,,,,,,,3461.54,Twin M621,1.4,7.5,,,25,4,0.6,30,0.4,1,0.05,30,40,Anti-Aircraft Autocannon
24,1,0.7,,MMW,,1.72,,,122805,,true,true,,true,,,,,,,2800,,,2800,,175,,,175,700,1.2,1400,700,AGM-114L [HOLD],2,5,,,400,2,4,2,3,1,0.5,600,150,ATGM
,7,0.5,0.2,Radar,,0.57,,,77604,,,,,true,,true,,,,,,2625,3150,,,,490,,,1500,10,7500,1500,9M33M3,2,245,,,490,6,25,6,1,1,0.5,672,280,SAM
19,1,0.4,,84mm HEAT,,0.86,,,122602,,,true,,,,,,,,,525,,,525,,,,,,,,,769.23,AT4HP,2.66,2.5,,,207.5,1,3,1,1,1,0.05,20,336,LAW
,0.5,0.2,1,7.62mm,,0.57,,,124096,,,,,,,,,,,,875,525,,875,,,,,,,,,3461.54,MG 6A,1.762,3,,,10,10,2,100,0.8,1,0.1,10,55,MMG
26,1,0.6,,Antiradar,,0.57,,,88422,,true,true,,true,,,true,,,,4550,,,4550,,875,,,875,2000,10,9000,2000,YJ-91,2,5,,,10,1,2.2,1,0.4,1,0.6,3500,150,Anti-Radar
12,1,0.4,1,120mm,,0.29,,,79253,,,,true,,,,,,,,2100,,,2100,,,,,,,,,3461.54,L11A5,2.2,2.5,,,300,1,8.5,1,1,1,0.3,25,138,Main Gun
,5,,15,GNSS-guided,,0.06,10,10,122809,,,,,,,,,,,,8400,,,8400,,840,,,840,,,,826.92,CS/BME1,1.8,60,,,180,5,10,5,4,1,,210,265,Mortar
,7,,10,155mm,,0.06,140,140,80967,,,,,,,,,,,,29750,,,29750,,2975,,,2975,,,,1057.69,M284 [10s],2.03,155,,,310,5,30,5,7,1,,421,357,Howitzer
26,1,0.5,2,SACLOS,,1.15,,,123041,,,true,,true,,,,,,,2625,,,2625,,175,,,175,750,2.3,900,750,Bulsae-5,2,5,,,400,1,5,1,1,1,0.05,178,150,ATGM
,4,0.5,1,Infrared,,0.57,,,78885,,true,,,true,,,,,,,,2450,1925,,,,,,,2000,10,9000,2000,FN-6,2,140,,,280,1,6,1,6,1,0.5,50,160,SAM
,1,0.4,1,5.45mm,,0.57,,,77584,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,AK-74M,1.545,2.5,,,10,4,6,40,3,1,0.4,4,40,Assault Rifles
,1,0.95,2,7.62mm,,0.57,,,122617,,,,,,,,,,,,1050,700,,1050,,87,,,87,,,,3461.54,SCAR-H PR,2.25,3,,,10,1,3,1,3,1,0.2,6,55,Sniper Rifle
,4,0.6,1.4,125mm,,0.29,,,123054,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,2A46,2.25,47,,,156.5,1,6,1,1,1,0.4,25,144,Main Gun
,1,0.2,1.4,20mm,,0.57,,,81167,,,,,,,,,,,,1575,1575,1400,1575,,,,,,,,,3461.54,M61A1 Vulcan,1.4,15,,,100,165,15,1100,0.4,1,0.05,1100,92,Gatling Gun
23,1,0.65,1,125mm,,0.29,,,123913,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,2A46M [Auto],2.25,2.5,,,312.5,30,6.6,30,6.6,1,0.55,750,144,Main Gun
,1,0.6,0.2,5.56mm,,0.57,,,122986,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,G95KA1,1,2.5,,,10,8,3,80,1.3,1,0.4,8,40,Assault Rifles
,1,0.6,0.2,5.56mm,,0.57,,,82581,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,K1A,1,2.5,,,10,8,3,80,1.3,1,0.4,8,40,Assault Rifles
15,1,0.6,1,120mm,,0.29,,,121227,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,M256,2.2,2.5,,,300,1,6.6,1,1,1,0.55,25,138,Main Gun
,5,0.6,1,Infrared,,0.57,,,85968,,true,,,true,,,,,,,,2625,2100,,,,,,,2000,10,9000,2000,AIM-92 ATAS Block III,2,175,,,350,4,20,4,2,1,0.6,268,200,SAM
,10,0.4,0.6,240mm,,1.15,,,121972,,,,,,,,,,,,2450,,,2450,,700,,,700,,,,2307.69,S-24B,2.6,90,,,300,2,20,2,2,1,0.3,200,552,Rocket Pod
19,1,0.5,2,SACLOS,,1.43,,,123159,,,true,,true,,,,,,,2450,,,2450,,175,,,175,500,2.7,700,500,Bulsae-3,2,5,,,400,1,5,1,1,1,0.4,75,150,ATGM
,3,0.5,1.4,100mm,,0.57,,,121939,,,,,,,,,,,,2100,,,2100,,,,,,,,,2692.31,PTP-86,2,37.5,,,125,1,6.6,1,1,1,0.35,20,115,Main Gun
19,1,0.55,1,125mm,,0.29,,,84013,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,2A46M [Auto],2.25,2.5,,,312.5,24,7.5,24,7.5,1,0.4,600,144,Main Gun
,1,0.3,1,5.56mm,,0.57,,,80191,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,L85A2,1.556,2.5,,,10,4,6,40,3,1,0.2,4,40,Assault Rifles
,1,0.3,,20mm Radar,,0.11,,,85460,,,,,,,true,,,,2275,1050,2275,1225,1050,,,,,,,,,3461.54,Phalanx Block 1,5.6,15,,,65,10,4,300,0.4,1,0.3,10,,CIWS
,2.5,0.6,2,SACLOS,,0.74,,,78796,,,,,true,,,,,,,1050,,,1050,,35,,,35,1000,10,1200,1000,Eryx,2,47,,,156.5,1,5,1,1,1,0.05,75,144,ATGM
,1,0.3,1,7.62mm,,0.57,,,124048,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,AR-M1,1.762,3,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
27,1,0.6,,SACLOS,,1.72,,,85978,,,true,,true,,,,,,,2450,,,2450,,175,,,175,500,1.7,1000,500,HOT 3,2,5,,,400,1,1,1,1,1,0.5,189,150,ATGM
,3,0.4,1.4,90mm,,0.29,,,122404,,,,,,,,,,,,1925,,,1925,,,,,,,,,2692.31,Engesa EC-90,1.9,34,,,112.5,1,6.6,1,1,1,0.25,15,104,Main Gun
11,1,0.6,4,MMW,,1.15,,,122621,true,true,true,,true,,,,,,,2450,,,2450,,175,,,175,500,1.6,750,500,Akeron MP,2,5,,,400,1,10,1,1,1,0.1,200,150,ATGM
,1,0.4,1,5.56mm,,0.57,,,80192,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,L85A2,1.556,2.5,,,10,4,6,40,3,1,0.4,4,40,Assault Rifles
,0.5,0.4,2,7.62mm,,0.57,,,121811,,,,,,,,,,,,875,595,,875,,,,,,,,,3461.54,MG5 S,2.25,3,,,50,15,5,150,0.8,1,0.25,10,55,SAW
24,1,0.6,,SACLOS,,1.72,,,85709,,,true,,true,,,,,,,2450,,,2450,,175,,,175,500,1.7,1000,500,BGM-71E TOW 2A,2,5,,,400,1,1,1,1,1,0.45,165,150,ATGM
,40,,45,Inertial-guidance,1,0.06,140,70,121905,,,,,,true,,,,,,98000,,,98000,,8400,,,8400,,,,1500,DF-11A [45s],4.8,480,325,,1440,1,300,1,1,1,,1312,1600,TBM
,0.5,0.3,2,7.62mm,,0.57,,,79590,,,,,,,,,,,,875,595,,875,,,,,,,,,3461.54,l.MG3,2.25,3,,,50,20,5,200,0.8,1,0.15,20,55,SAW
,4,0.6,1.4,120mm,,0.29,,,123968,,,,true,,,,,,,,2275,,,2275,,,,,,,,,2692.31,DRDO-120,2.2,45,,,150,1,7.5,1,1,1,0.55,25,138,Main Gun
,1,0.4,0.2,30mm Radar,,0.11,,,81187,,,,,,,true,,,,,,2800,2625,,,,,,,,,,3461.54,Twin 30NK,5.2,11.5,,,72.5,100,15,1000,0.3,1,0.15,1000,120,Anti-Aircraft Autocannon
,0.5,0.5,1.5,5.45mm,,0.57,,,121426,,,,,,,,,,,,770,595,,770,,,,,,,,,3461.54,RPK-16,1.5,2.5,,,50,10,5,95,0.8,1,0.3,10,40,SAW
,,,15,122mm,1,0.06,700,175,124207,,,,,,,,,true,,,23100,,,23100,,3500,,,3500,,,,1057.69,M-21OF LRAR [30s],1.81,74.23,,125,371.15,40,200,40,0.6,1,,720,,MLRS
,7,,30,152mm,,0.06,350,350,84249,,,,,,,,,,,,12250,,,12250,,1225,,,1225,,,,1057.69,D-20 [30s],2.01,152,,,304,10,30,10,12,1,,250,350,Howitzer
,2,0.7,1,84mm HEAT,,0.86,,,84759,,,,,,,,,,,,875,,,875,,,,,,,,,2692.31,Mk 153 SMAW [SMK],1.83,31.5,,,105,1,4,1,1,1,0.05,10,50,LAW
,1,0.95,2,7.62mm,,0.57,,,124072,,,,,,,,,,,,1050,700,,1050,,87,,,87,,,,3461.54,L129A1,1.12,3,,,10,1,3,1,4,1,0.2,6,55,Sniper Rifle
14,1,0.4,,90mm HEAT,,0.86,,,123244,,,true,,,,,,,,,700,,,700,,,,,,,,,769.23,M67 RR,2.66,2.5,,,207.5,1,6,1,1,1,0.05,20,340,LAW
19,1,0.5,2,SACLOS,,1.15,,,77707,,,true,,true,,,,,,,2275,,,2275,,175,,,175,500,2.1,750,500,MILAN F2,2,5,,,400,1,5,1,1,1,0.05,103,150,ATGM
,1,0.6,0.6,5.56mm,,0.57,,,121772,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,G36A2,1.556,2.5,,,10,6,4.5,60,2.2,1,0.6,6,40,Assault Rifles
26,1,0.7,,SALH,,1.72,,,123676,,,true,,true,,,,,,,2800,,,2800,,175,,,175,700,1.2,1400,700,AGM-114R [HOLD],2,5,,,400,1,1,1,1,1,0.5,243,150,ATGM
,1,0.3,0.4,9mm,,0.57,,,124060,,,,,,,,,,,,455,455,,455,,2,,,2,,,,3461.54,MSMC,1,3.5,,,10,6,3,60,1.5,1,0.3,6,36,SMG
,,,12,122mm,,0.06,245,245,77494,,,,,,,,,true,,,15225,,,15225,,1522,,,1522,,,,826.92,2A31 [25s],1.81,122,,150,244,12,15,12,8.5,1,,350,,Howitzer
,11,,10,214mm,1,0.06,700,175,124209,,,,,,,,,,,,38500,,,38500,,7000,,,7000,,,,1057.69,Pinaka [10s],2.47,132,,,660,12,180,12,1.25,1,,816,442,MLRS
,1,0.8,0.2,5.45mm,,0.57,,,107465,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,AK-12,1.545,2.5,,,10,8,3,80,1.5,1,0.8,8,40,Assault Rifles
,4,0.65,1.4,125mm,,0.29,,,84090,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,2A46M5 [Auto],2.25,47,,,156.5,30,6.6,30,6.6,1,0.55,750,144,Main Gun
,,,5,152mm,,0.06,210,210,121988,,,,,,,,,true,,,23100,,,23100,,2310,,,2310,,,,1057.69,PL-96 [10s],1.81,152,,150,304,5,15,5,7.5,1,,331,,Howitzer
,1,0.6,0.2,5.56mm,,0.57,,,120536,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,HK416,1,2.5,,,10,8,3,80,1.3,1,0.4,8,40,Assault Rifles
,1,0.8,0.2,5.45mm,,0.57,,,80645,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,KH2002,1,2.5,,,10,8,3,80,1.3,1,0.4,8,40,Assault Rifles
,1,0.45,1,23mm Radar,,0.11,,,122185,,,,,,,true,,,,,1575,,,1575,,,,,,,,,3461.54,AZP-23 Amur,4.92,9,,,67.5,15,5,200,0.2,1,0.35,200,92,Anti-Aircraft Autocannon
,,,4,82mm,,0.06,175,175,81812,,,,,,,,,true,,,4900,,,4900,,490,,,490,,,,692.31,2B9 Vasilek,1.55,41,,100,123,10,6,10,0.6,1,,80,,Mortar
,1,0.6,0.2,5.45mm,,0.57,,,107467,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,AK-12,1.545,2.5,,,10,8,3,80,1.5,1,0.4,8,40,Assault Rifles
,12,,10,240mm,1,0.06,700,175,123423,,,,,,,,,,,,17500,,,17500,,3500,,,3500,,,,1057.69,M-1991 [10s],2.47,144,,,720,22,180,22,1.5,1,,1637,480,MLRS
,1,0.8,0.2,5.56mm,,0.57,,,123218,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,K2,1,2.5,,,10,8,3,80,1.5,1,0.8,8,40,Assault Rifles
,1,0.6,0.6,7.62mm,,0.57,,,82515,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,AK-203,1.762,3,,,10,6,4.5,60,2.2,1,0.6,6,40,Assault Rifles
,0.5,0.3,2,5.56mm,,0.57,,,77833,,,,,,,,,,,,770,595,,770,,,,,,,,,3461.54,Minimi Para,2.25,2.5,,,50,20,5,200,0.8,1,0.1,20,40,SAW
